LINEAGE	WHO_LABEL	CONTRIBUTING_LINEAGES	COLOR	variant_category
B.1.617.2	Delta	AY.4.16	#F1CE98	VOC
B.1.617.2	Delta	AY.4.17	#F1CE98	VOC
B.1.617.2	Delta	AY.4.2	#F1CE98	VOC
B.1.617.2	Delta	AY.4.2.1	#F1CE98	VOC
B.1.617.2	Delta	AY.4.2.2	#F1CE98	VOC
B.1.617.2	Delta	AY.4.2.3	#F1CE98	VOC
B.1.617.2	Delta	AY.4.2.4	#F1CE98	VOC
B.1.617.2	Delta	AY.4.2.5	#F1CE98	VOC
B.1.617.2	Delta	AY.4.3	#F1CE98	VOC
B.1.617.2	Delta	AY.4.4	#F1CE98	VOC
B.1.617.2	Delta	AY.4.5	#F1CE98	VOC
B.1.617.2	Delta	AY.4.6	#F1CE98	VOC
B.1.617.2	Delta	AY.4.7	#F1CE98	VOC
B.1.617.2	Delta	AY.4.8	#F1CE98	VOC
B.1.617.2	Delta	AY.4.9	#F1CE98	VOC
B.1.617.2	Delta	AY.40	#F1CE98	VOC
B.1.617.2	Delta	AY.41	#F1CE98	VOC
B.1.617.2	Delta	AY.42	#F1CE98	VOC
B.1.617.2	Delta	AY.42.1	#F1CE98	VOC
B.1.617.2	Delta	AY.43	#F1CE98	VOC
B.1.617.2	Delta	AY.43.1	#F1CE98	VOC
B.1.617.2	Delta	AY.43.2	#F1CE98	VOC
B.1.617.2	Delta	AY.43.3	#F1CE98	VOC
B.1.617.2	Delta	AY.43.4	#F1CE98	VOC
B.1.617.2	Delta	AY.43.5	#F1CE98	VOC
B.1.617.2	Delta	AY.43.6	#F1CE98	VOC
B.1.617.2	Delta	AY.43.7	#F1CE98	VOC
B.1.617.2	Delta	AY.43.8	#F1CE98	VOC
B.1.617.2	Delta	AY.43.9	#F1CE98	VOC
B.1.617.2	Delta	AY.44	#F1CE98	VOC
B.1.617.2	Delta	AY.45	#F1CE98	VOC
B.1.617.2	Delta	AY.46	#F1CE98	VOC
B.1.617.2	Delta	AY.46.1	#F1CE98	VOC
B.1.617.2	Delta	AY.46.2	#F1CE98	VOC
B.1.617.2	Delta	AY.46.3	#F1CE98	VOC
B.1.617.2	Delta	AY.46.4	#F1CE98	VOC
B.1.617.2	Delta	AY.46.5	#F1CE98	VOC
B.1.617.2	Delta	AY.46.6	#F1CE98	VOC
B.1.617.2	Delta	AY.46.6.1	#F1CE98	VOC
B.1.617.2	Delta	AY.47	#F1CE98	VOC
B.1.617.2	Delta	AY.48	#F1CE98	VOC
B.1.617.2	Delta	AY.49	#F1CE98	VOC
B.1.617.2	Delta	AY.5	#F1CE98	VOC
B.1.617.2	Delta	AY.5.1	#F1CE98	VOC
B.1.617.2	Delta	AY.5.2	#F1CE98	VOC
B.1.617.2	Delta	AY.5.3	#F1CE98	VOC
B.1.617.2	Delta	AY.5.4	#F1CE98	VOC
B.1.617.2	Delta	AY.5.5	#F1CE98	VOC
B.1.617.2	Delta	AY.5.6	#F1CE98	VOC
B.1.617.2	Delta	AY.5.7	#F1CE98	VOC
B.1.617.2	Delta	AY.50	#F1CE98	VOC
B.1.617.2	Delta	AY.51	#F1CE98	VOC
B.1.617.2	Delta	AY.52	#F1CE98	VOC
B.1.617.2	Delta	AY.53	#F1CE98	VOC
B.1.617.2	Delta	AY.54	#F1CE98	VOC
B.1.617.2	Delta	AY.55	#F1CE98	VOC
B.1.617.2	Delta	AY.56	#F1CE98	VOC
B.1.617.2	Delta	AY.57	#F1CE98	VOC
B.1.617.2	Delta	AY.58	#F1CE98	VOC
B.1.617.2	Delta	AY.59	#F1CE98	VOC
B.1.617.2	Delta	AY.6	#F1CE98	VOC
B.1.617.2	Delta	AY.60	#F1CE98	VOC
B.1.617.2	Delta	AY.61	#F1CE98	VOC
B.1.617.2	Delta	AY.62	#F1CE98	VOC
B.1.617.2	Delta	AY.63	#F1CE98	VOC
B.1.617.2	Delta	AY.64	#F1CE98	VOC
B.1.617.2	Delta	AY.65	#F1CE98	VOC
B.1.617.2	Delta	AY.66	#F1CE98	VOC
B.1.617.2	Delta	AY.67	#F1CE98	VOC
B.1.617.2	Delta	AY.68	#F1CE98	VOC
B.1.617.2	Delta	AY.69	#F1CE98	VOC
B.1.617.2	Delta	AY.7	#F1CE98	VOC
B.1.617.2	Delta	AY.7.1	#F1CE98	VOC
B.1.617.2	Delta	AY.7.2	#F1CE98	VOC
B.1.617.2	Delta	AY.70	#F1CE98	VOC
B.1.617.2	Delta	AY.71	#F1CE98	VOC
B.1.617.2	Delta	AY.72	#F1CE98	VOC
B.1.617.2	Delta	AY.73	#F1CE98	VOC
B.1.617.2	Delta	AY.74	#F1CE98	VOC
B.1.617.2	Delta	AY.75	#F1CE98	VOC
B.1.617.2	Delta	AY.75.2	#F1CE98	VOC
B.1.617.2	Delta	AY.75.3	#F1CE98	VOC
B.1.617.2	Delta	AY.76	#F1CE98	VOC
B.1.617.2	Delta	AY.77	#F1CE98	VOC
B.1.617.2	Delta	AY.78	#F1CE98	VOC
B.1.617.2	Delta	AY.79	#F1CE98	VOC
B.1.617.2	Delta	AY.8	#F1CE98	VOC
B.1.617.2	Delta	AY.80	#F1CE98	VOC
B.1.617.2	Delta	AY.81	#F1CE98	VOC
B.1.617.2	Delta	AY.82	#F1CE98	VOC
B.1.617.2	Delta	AY.83	#F1CE98	VOC
B.1.617.2	Delta	AY.84	#F1CE98	VOC
